Route No.,Call No.,Route Start Date,Shift Start,Customer ID,Customer Name,Full Address for Address Matching,Customer Address,Country Code,Postcode,Order Details 1,Latitude,Longitude,EQ Code,Fixed Time at Call,Delivery Date,Arrival Time,Contact Number (Daily UID),Depot Address,Route Reference,Stop Departure Date,Depart Time,Driver ID,Route Reference,Next Customer Address,Monday,Depot,Open,Trip Drop No.,Is Crossdock,Depot Name,Route Completion Date,Cube,Units,$,Travel Distance from Prev. Drop,End Depot Arrival Time
6,11,"10/5/2023",03:59 Thu,"34516321-00","6321 Home Depot","10689 ULMERTON RD","LARGO","USAFL","33771-3527","27263061",27.894710,-82.785968,"",0:15,"10/5/2023",09:13 Thu,20366,"Lake City","W006","10/5/2023",10:22 Thu,"","LSW006100423","LARGO",0,0,"7:00",4,0,"Lake City, FL Domicile","10/5/2023",31830,81,2176714,4,16:35 Thu
6,12,"10/5/2023",03:59 Thu,"34516321-00","6321 Home Depot","10689 ULMERTON RD","LARGO","USAFL","33771-3527","27262198",27.894710,-82.785968,"",0:15,"10/5/2023",10:22 Thu,20366,"Lake City","W006","10/5/2023",10:22 Thu,"","LSW006100423","LARGO",0,0,"7:00",4,0,"Lake City, FL Domicile","10/5/2023",244,1,20866,4,16:35 Thu
6,13,"10/5/2023",03:59 Thu,"34516321-00","6321 Home Depot","10689 ULMERTON RD","LARGO","USAFL","33771-3527","27256929",27.894710,-82.785968,"",0:15,"10/5/2023",10:22 Thu,20366,"Lake City","W006","10/5/2023",10:24 Thu,"","LSW006100423","LARGO",0,0,"7:00",4,0,"Lake City, FL Domicile","10/5/2023",1323,3,61378,4,16:35 Thu
6,14,"10/5/2023",03:59 Thu,"34516321-00","6321 Home Depot","10689 ULMERTON RD","LARGO","USAFL","33771-3527","27255268",27.894710,-82.785968,"",0:15,"10/5/2023",10:24 Thu,20366,"Lake City","W006","10/5/2023",10:24 Thu,"","LSW006100423","LARGO",0,0,"7:00",4,0,"Lake City, FL Domicile","10/5/2023",304,2,31010,4,16:35 Thu
6,15,"10/5/2023",03:59 Thu,"34516321-00","6321 Home Depot","10689 ULMERTON RD","LARGO","USAFL","33771-3527","27255248",27.894710,-82.785968,"",0:15,"10/5/2023",10:24 Thu,20366,"Lake City","W006","10/5/2023",10:34 Thu,"","LSW006100423","LARGO",0,0,"7:00",4,0,"Lake City, FL Domicile","10/5/2023",5886,8,212808,4,16:35 Thu
6,16,"10/5/2023",03:59 Thu,"34516321-00","6321 Home Depot","10689 ULMERTON RD","LARGO","USAFL","33771-3527","27253583",27.894710,-82.785968,"",0:15,"10/5/2023",10:34 Thu,20366,"Lake City","W006","10/5/2023",10:34 Thu,"","LSW006100423","LARGO",0,0,"7:00",4,0,"Lake City, FL Domicile","10/5/2023",141,1,2068,4,16:35 Thu
6,17,"10/5/2023",03:59 Thu,"34516321-00","6321 Home Depot","10689 ULMERTON RD","LARGO","USAFL","33771-3527","27253573",27.894710,-82.785968,"",0:15,"10/5/2023",10:34 Thu,20366,"Lake City","W006","10/5/2023",10:34 Thu,"","LSW006100423","LARGO",0,0,"7:00",4,0,"Lake City, FL Domicile","10/5/2023",138,1,2068,4,16:35 Thu
6,18,"10/5/2023",03:59 Thu,"34516321-00","6321 Home Depot","10689 ULMERTON RD","LARGO","USAFL","33771-3527","27251923",27.894710,-82.785968,"",0:15,"10/5/2023",10:34 Thu,20366,"Lake City","W006","10/5/2023",10:34 Thu,"","LSW006100423","LARGO",0,0,"7:00",4,0,"Lake City, FL Domicile","10/5/2023",518,1,1,4,16:35 Thu
6,19,"10/5/2023",03:59 Thu,"34516321-00","6321 Home Depot","10689 ULMERTON RD","LARGO","USAFL","33771-3527","27250192",27.894710,-82.785968,"",0:15,"10/5/2023",10:34 Thu,20366,"Lake City","W006","10/5/2023",10:34 Thu,"","LSW006100423","LARGO",0,0,"7:00",4,0,"Lake City, FL Domicile","10/5/2023",518,1,0,4,16:35 Thu
6,20,"10/5/2023",03:59 Thu,"34516321-00","6321 Home Depot","10689 ULMERTON RD","LARGO","USAFL","33771-3527","27248214",27.894710,-82.785968,"",0:15,"10/5/2023",10:34 Thu,20366,"Lake City","W006","10/5/2023",10:48 Thu,"","LSW006100423","CLEARWATER",0,0,"7:00",4,0,"Lake City, FL Domicile","10/5/2023",8327,12,798073,4,16:35 Thu
6,21,"10/5/2023",03:59 Thu,"34516357-00","6357 Home Depot","2495 GULF TO BAY BLVD","CLEARWATER","USAFL","33765-4300","27263038",27.960480,-82.734770,"",0:15,"10/5/2023",11:03 Thu,20366,"Lake City","W006","10/5/2023",11:55 Thu,"","LSW006100423","CLEARWATER",0,0,"7:00",5,0,"Lake City, FL Domicile","10/5/2023",21992,50,1360374,8,16:35 Thu
6,22,"10/5/2023",03:59 Thu,"34516357-00","6357 Home Depot","2495 GULF TO BAY BLVD","CLEARWATER","USAFL","33765-4300","27262628",27.960480,-82.734770,"",0:15,"10/5/2023",11:55 Thu,20366,"Lake City","W006","10/5/2023",11:56 Thu,"","LSW006100423","CLEARWATER",0,0,"7:00",5,0,"Lake City, FL Domicile","10/5/2023",669,1,23327,8,16:35 Thu
6,23,"10/5/2023",03:59 Thu,"34516357-00","6357 Home Depot","2495 GULF TO BAY BLVD","CLEARWATER","USAFL","33765-4300","27262615",27.960480,-82.734770,"",0:15,"10/5/2023",11:56 Thu,20366,"Lake City","W006","10/5/2023",11:57 Thu,"","LSW006100423","CLEARWATER",0,0,"7:00",5,0,"Lake City, FL Domicile","10/5/2023",722,3,43900,8,16:35 Thu
6,24,"10/5/2023",03:59 Thu,"34516357-00","6357 Home Depot","2495 GULF TO BAY BLVD","CLEARWATER","USAFL","33765-4300","27262013",27.960480,-82.734770,"",0:15,"10/5/2023",11:57 Thu,20366,"Lake City","W006","10/5/2023",11:58 Thu,"","LSW006100423","CLEARWATER",0,0,"7:00",5,0,"Lake City, FL Domicile","10/5/2023",860,2,43488,8,16:35 Thu
6,25,"10/5/2023",03:59 Thu,"34516357-00","6357 Home Depot","2495 GULF TO BAY BLVD","CLEARWATER","USAFL","33765-4300","27253929",27.960480,-82.734770,"",0:15,"10/5/2023",11:58 Thu,20366,"Lake City","W006","10/5/2023",11:58 Thu,"","LSW006100423","CLEARWATER",0,0,"7:00",5,0,"Lake City, FL Domicile","10/5/2023",22,1,0,8,16:35 Thu
6,26,"10/5/2023",03:59 Thu,"34516357-00","6357 Home Depot","2495 GULF TO BAY BLVD","CLEARWATER","USAFL","33765-4300","27252378",27.960480,-82.734770,"",0:15,"10/5/2023",11:58 Thu,20366,"Lake City","W006","10/5/2023",12:01 Thu,"","LSW006100423","CLEARWATER",0,0,"7:00",5,0,"Lake City, FL Domicile","10/5/2023",1921,4,211050,8,16:35 Thu
6,27,"10/5/2023",03:59 Thu,"34516357-00","6357 Home Depot","2495 GULF TO BAY BLVD","CLEARWATER","USAFL","33765-4300","27246546",27.960480,-82.734770,"",0:15,"10/5/2023",12:01 Thu,20366,"Lake City","W006","10/5/2023",12:10 Thu,"","LSW006100423","CLEARWATER",0,0,"7:00",5,0,"Lake City, FL Domicile","10/5/2023",5438,19,669214,8,16:35 Thu
6,28,"10/5/2023",03:59 Thu,"34510247-00","0247 Home Depot","30144 US HIGHWAY 19 N","CLEARWATER","USAFL","33761-1057","27261282",28.046115,-82.738544,"",0:15,"10/5/2023",12:19 Thu,20366,"Lake City","W006","10/5/2023",13:03 Thu,"","LSW006100423","CLEARWATER",1,0,"7:00",6,0,"Lake City, FL Domicile","10/5/2023",17202,54,976250,6,16:35 Thu
6,29,"10/5/2023",03:59 Thu,"34510247-00","0247 Home Depot","30144 US HIGHWAY 19 N","CLEARWATER","USAFL","33761-1057","27256213",28.046115,-82.738544,"",0:15,"10/5/2023",13:03 Thu,20366,"Lake City","W006","10/5/2023",13:03 Thu,"","LSW006100423","CLEARWATER",1,0,"7:00",6,0,"Lake City, FL Domicile","10/5/2023",181,1,19981,6,16:35 Thu
6,30,"10/5/2023",03:59 Thu,"34510247-00","0247 Home Depot","30144 US HIGHWAY 19 N","CLEARWATER","USAFL","33761-1057","27255135",28.046115,-82.738544,"",0:15,"10/5/2023",13:03 Thu,20366,"Lake City","W006","10/5/2023",13:10 Thu,"","LSW006100423","CLEARWATER",1,0,"7:00",6,0,"Lake City, FL Domicile","10/5/2023",4185,3,307447,6,16:35 Thu
6,31,"10/5/2023",03:59 Thu,"34510247-00","0247 Home Depot","30144 US HIGHWAY 19 N","CLEARWATER","USAFL","33761-1057","27232914",28.046115,-82.738544,"",0:15,"10/5/2023",13:10 Thu,20366,"Lake City","W006","10/5/2023",13:28 Thu,"","LSW006100423","Lake City",1,0,"7:00",6,0,"Lake City, FL Domicile","10/5/2023",10569,6,309630,6,16:35 Thu
7,1,"10/5/2023",03:21 Thu,"34516310-00","6310 Home Depot","3401 OAKWOOD BLVD","HOLLYWOOD","USAFL","33020-7107","27261288",26.042523,-80.162344,"",0:15,"10/5/2023",07:00 Thu,20366,"Sanford","W007","10/5/2023",07:27 Thu,"","LSW007100423","HOLLYWOOD",1,0,"7:00",1,0,"Sanford, FL Domicile","10/6/2023",7075,26,614859,238,18:29 Fri
7,2,"10/5/2023",03:21 Thu,"34516310-00","6310 Home Depot","3401 OAKWOOD BLVD","HOLLYWOOD","USAFL","33020-7107","27250373",26.042523,-80.162344,"",0:15,"10/5/2023",07:27 Thu,20366,"Sanford","W007","10/5/2023",07:31 Thu,"","LSW007100423","HOLLYWOOD",1,0,"7:00",1,0,"Sanford, FL Domicile","10/6/2023",2698,2,134459,238,18:29 Fri
7,3,"10/5/2023",03:21 Thu,"34516310-00","6310 Home Depot","3401 OAKWOOD BLVD","HOLLYWOOD","USAFL","33020-7107","27247229",26.042523,-80.162344,"",0:15,"10/5/2023",07:31 Thu,20366,"Sanford","W007","10/5/2023",07:32 Thu,"","LSW007100423","WEST PARK",1,0,"7:00",1,0,"Sanford, FL Domicile","10/6/2023",915,1,35888,238,18:29 Fri
7,4,"10/5/2023",03:21 Thu,"34510285-00","0285 Home Depot","1951 S STATE ROAD 7","WEST PARK","USAFL","33023-6733","27252817",25.992740,-80.206770,"",0:15,"10/5/2023",07:46 Thu,20366,"Sanford","W007","10/5/2023",08:01 Thu,"","LSW007100423","NORTH MIAMI BEACH",1,0,"7:00",2,0,"Sanford, FL Domicile","10/6/2023",1,1,0,8,18:29 Fri
7,5,"10/5/2023",03:21 Thu,"34510251-00","0251 Home Depot","1245 NE 163RD ST","NORTH MIAMI BEACH","USAFL","33162-4634","27261038",25.925380,-80.175040,"",0:15,"10/5/2023",08:17 Thu,20366,"Sanford","W007","10/5/2023",08:55 Thu,"","LSW007100423","NORTH MIAMI",1,0,"7:00",3,0,"Sanford, FL Domicile","10/6/2023",13597,29,823637,6,18:29 Fri
7,6,"10/5/2023",03:21 Thu,"34516322-00","6322 Home Depot","12055 BISCAYNE BLVD","NORTH MIAMI","USAFL","33181-2709","27261181",25.887185,-80.164356,"",0:15,"10/5/2023",09:06 Thu,20366,"Sanford","W007","10/5/2023",09:28 Thu,"","LSW007100423","HIALEAH",1,0,"7:00",4,0,"Sanford, FL Domicile","10/6/2023",4507,11,344873,4,18:29 Fri
7,7,"10/5/2023",03:21 Thu,"34510202-00","0202 Home Depot","1590 W 49TH ST","HIALEAH","USAFL","33012-2923","27261091",25.866520,-80.314427,"",0:15,"10/5/2023",09:57 Thu,20366,"Sanford","W007","10/5/2023",10:32 Thu,"","LSW007100423","HIALEAH",1,0,"7:00",5,0,"Sanford, FL Domicile","10/6/2023",11753,14,590719,13,18:29 Fri
7,8,"10/5/2023",03:21 Thu,"34516378-00","6378 Home Depot","950 SE 12TH ST","HIALEAH","USAFL","33010-5931","27261174",25.812150,-80.261518,"",0:15,"10/5/2023",10:47 Thu,20366,"Sanford","W007","10/5/2023",11:27 Thu,"","LSW007100423","HIALEAH",1,0,"7:00",6,0,"Sanford, FL Domicile","10/6/2023",14596,31,900189,5,18:29 Fri
7,9,"10/5/2023",03:21 Thu,"34516378-00","6378 Home Depot","950 SE 12TH ST","HIALEAH","USAFL","33010-5931","27257087",25.812150,-80.261518,"",0:15,"10/5/2023",11:27 Thu,20366,"Sanford","W007","10/5/2023",11:27 Thu,"","LSW007100423","MIAMI",1,0,"7:00",6,0,"Sanford, FL Domicile","10/6/2023",478,3,43029,5,18:29 Fri
7,10,"10/5/2023",03:21 Thu,"34510277-00","0277 Home Depot","3030 SW 8TH ST","MIAMI","USAFL","33135-4532","27261008",25.765022,-80.243190,"",0:15,"10/5/2023",11:40 Thu,20366,"Sanford","W007","10/5/2023",12:07 Thu,"","LSW007100423","KEY WEST",1,0,"7:00",7,0,"Sanford, FL Domicile","10/6/2023",7408,24,597037,5,18:29 Fri
7,11,"10/5/2023",03:21 Thu,"34516313-00","6313 Home Depot","2811 N ROOSEVELT BLVD","KEY WEST","USAFL","33040-4073","27261258",24.566247,-81.771999,"",0:15,"10/5/2023",15:41 Thu,20366,"Sanford","W007","10/5/2023",16:01 Thu,"","LSW007100423","MARATHON",1,0,"7:00",8,0,"Sanford, FL Domicile","10/6/2023",3153,7,152994,160,18:29 Fri
7,12,"10/5/2023",03:21 Thu,"34516302-00","6302 Home Depot","4555 OVERSEAS HWY","MARATHON","USAFL","33050-2330","27262258",24.713900,-81.084330,"",0:15,"10/6/2023",07:00 Fri,20366,"Sanford","W007","10/6/2023",07:15 Fri,"","LSW007100423","MARATHON",1,0,"7:00",9,0,"Sanford, FL Domicile","10/6/2023",7,1,0,46,18:29 Fri
7,13,"10/5/2023",03:21 Thu,"34516302-00","6302 Home Depot","4555 OVERSEAS HWY","MARATHON","USAFL","33050-2330","27261157",24.713900,-81.084330,"",0:15,"10/6/2023",07:15 Fri,20366,"Sanford","W007","10/6/2023",07:18 Fri,"","LSW007100423","MARATHON",1,0,"7:00",9,0,"Sanford, FL Domicile","10/6/2023",1914,6,148486,46,18:29 Fri
7,14,"10/5/2023",03:21 Thu,"34516302-00","6302 Home Depot","4555 OVERSEAS HWY","MARATHON","USAFL","33050-2330","27248586",24.713900,-81.084330,"",0:15,"10/6/2023",07:18 Fri,20366,"Sanford","W007","10/6/2023",07:18 Fri,"","LSW007100423","FLORIDA CITY",1,0,"7:00",9,0,"Sanford, FL Domicile","10/6/2023",231,1,34757,46,18:29 Fri
7,15,"10/5/2023",03:21 Thu,"34516355-00","6355 Home Depot","33001 S DIXIE HWY","FLORIDA CITY","USAFL","33034-5640","27262890",25.459840,-80.475130,"",0:15,"10/6/2023",09:06 Fri,20366,"Sanford","W007","10/6/2023",09:44 Fri,"","LSW007100423","FLORIDA CITY",0,0,"7:00",10,0,"Sanford, FL Domicile","10/6/2023",13786,23,688646,78,18:29 Fri
7,16,"10/5/2023",03:21 Thu,"34516355-00","6355 Home Depot","33001 S DIXIE HWY","FLORIDA CITY","USAFL","33034-5640","27255534",25.459840,-80.475130,"",0:15,"10/6/2023",09:44 Fri,20366,"Sanford","W007","10/6/2023",09:44 Fri,"","LSW007100423","MIAMI",0,0,"7:00",10,0,"Sanford, FL Domicile","10/6/2023",518,1,0,78,18:29 Fri
7,17,"10/5/2023",03:21 Thu,"34516306-00","6306 Home Depot","13501 S DIXIE HWY","MIAMI","USAFL","33156-6513","27261222",25.645127,-80.333439,"",0:15,"10/6/2023",10:09 Fri,20366,"Sanford","W007","10/6/2023",10:28 Fri,"","LSW007100423","CUTLER BAY",1,0,"7:00",11,0,"Sanford, FL Domicile","10/6/2023",2474,10,219053,20,18:29 Fri
7,18,"10/5/2023",03:21 Thu,"34510207-00","0207 Home Depot","19400 SW 106TH AVE","CUTLER BAY","USAFL","33157-7621","27262831",25.587037,-80.365683,"",0:15,"10/6/2023",10:40 Fri,20366,"Sanford","W007","10/6/2023",11:06 Fri,"","LSW007100423","MIAMI",0,0,"7:00",12,0,"Sanford, FL Domicile","10/6/2023",6531,7,332744,4,18:29 Fri
7,19,"10/5/2023",03:21 Thu,"34516976-00","6976 Home Depot","11905 SW 152ND ST","MIAMI","USAFL","33177-1605","27262906",25.627250,-80.385320,"",0:15,"10/6/2023",11:15 Fri,20366,"Sanford","W007","10/6/2023",11:32 Fri,"","LSW007100423","MIAMI",0,0,"7:00",13,0,"Sanford, FL Domicile","10/6/2023",1488,4,105694,5,18:29 Fri
7,20,"10/5/2023",03:21 Thu,"34516976-00","6976 Home Depot","11905 SW 152ND ST","MIAMI","USAFL","33177-1605","27256140",25.627250,-80.385320,"",0:15,"10/6/2023",11:32 Fri,20366,"Sanford","W007","10/6/2023",11:33 Fri,"","LSW007100423","MIAMI",0,0,"7:00",13,0,"Sanford, FL Domicile","10/6/2023",692,1,23234,5,18:29 Fri
7,21,"10/5/2023",03:21 Thu,"34516976-00","6976 Home Depot","11905 SW 152ND ST","MIAMI","USAFL","33177-1605","27245145",25.627250,-80.385320,"",0:15,"10/6/2023",11:33 Fri,20366,"Sanford","W007","10/6/2023",11:34 Fri,"","LSW007100423","MIAMI",0,0,"7:00",13,0,"Sanford, FL Domicile","10/6/2023",615,1,31520,5,18:29 Fri
7,22,"10/5/2023",03:21 Thu,"34516339-00","6339 Home Depot","15750 SW 88TH ST","MIAMI","USAFL","33196-5828","27262919",25.684238,-80.448646,"",0:15,"10/6/2023",11:50 Fri,20366,"Sanford","W007","10/6/2023",12:12 Fri,"","LSW007100423","MIAMI",0,0,"7:00",14,0,"Sanford, FL Domicile","10/6/2023",4469,6,279807,8,18:29 Fri
7,23,"10/5/2023",03:21 Thu,"34510210-00","0210 Home Depot","12700 SW 88TH ST","MIAMI","USAFL","33186-1746","27263050",25.685720,-80.401580,"",0:15,"10/6/2023",12:19 Fri,20366,"Sanford","W007","10/6/2023",12:40 Fri,"","LSW007100423","MIAMI",0,0,"7:00",15,0,"Sanford, FL Domicile","10/6/2023",3942,5,189977,2,18:29 Fri
7,24,"10/5/2023",03:21 Thu,"34510206-00","0206 Home Depot","11305 SW 40TH ST","MIAMI","USAFL","33165-4420","27262992",25.732201,-80.378734,"",0:15,"10/6/2023",12:49 Fri,20366,"Sanford","W007","10/6/2023",13:21 Fri,"","LSW007100423","MIAMI",0,0,"7:00",16,0,"Sanford, FL Domicile","10/6/2023",10483,15,668833,4,18:29 Fri
7,25,"10/5/2023",03:21 Thu,"34516343-00","6343 Home Depot","7899 W FLAGLER ST","MIAMI","USAFL","33144-2396","27262977",25.769880,-80.324070,"",0:15,"10/6/2023",13:37 Fri,20366,"Sanford","W007","10/6/2023",13:57 Fri,"","LSW007100423","MIAMI",0,0,"7:00",17,0,"Sanford, FL Domicile","10/6/2023",3067,10,226701,8,18:29 Fri
7,26,"10/5/2023",03:21 Thu,"34516343-00","6343 Home Depot","7899 W FLAGLER ST","MIAMI","USAFL","33144-2396","27260238",25.769880,-80.324070,"",0:15,"10/6/2023",13:57 Fri,20366,"Sanford","W007","10/6/2023",13:57 Fri,"","LSW007100423","MIAMI",0,0,"7:00",17,0,"Sanford, FL Domicile","10/6/2023",446,1,23151,8,18:29 Fri
7,27,"10/5/2023",03:21 Thu,"34516343-00","6343 Home Depot","7899 W FLAGLER ST","MIAMI","USAFL","33144-2396","27233696",25.769880,-80.324070,"",0:15,"10/6/2023",13:57 Fri,20366,"Sanford","W007","10/6/2023",14:01 Fri,"","LSW007100423","MIAMI",0,0,"7:00",17,0,"Sanford, FL Domicile","10/6/2023",2701,2,126975,8,18:29 Fri
7,28,"10/5/2023",03:21 Thu,"34513331-00","3331 Home Depot","1650 NW 117TH ST","MIAMI","USAFL","33167-3112","27259512",25.881721,-80.225416,"",0:15,"10/6/2023",14:24 Fri,20366,"Sanford","W007","10/6/2023",14:39 Fri,"","LSW007100423","Sanford",0,0,"7:00",18,0,"Sanford, FL Domicile","10/6/2023",405,5,15790,15,18:29 Fri
9,1,"10/5/2023",06:00 Thu,"34516878-00","6878 Home Depot","2700 US HIGHWAY 441 S","OKEECHOBEE","USAFL","34974-5840","27261050",27.209730,-80.800660,"",0:15,"10/5/2023",08:21 Thu,20366,"Sanford","W009","10/5/2023",08:53 Thu,"","LSW009100423","OKEECHOBEE",1,0,"7:00",1,0,"Sanford, FL Domicile","10/6/2023",10245,27,751690,138,18:53 Fri
9,2,"10/5/2023",06:00 Thu,"34516878-00","6878 Home Depot","2700 US HIGHWAY 441 S","OKEECHOBEE","USAFL","34974-5840","27256852",27.209730,-80.800660,"",0:15,"10/5/2023",08:53 Thu,20366,"Sanford","W009","10/5/2023",09:00 Thu,"","LSW009100423","JUPITER",1,0,"7:00",1,0,"Sanford, FL Domicile","10/6/2023",4234,6,205995,138,18:53 Fri
9,3,"10/5/2023",06:00 Thu,"34510274-00","0274 Home Depot","1694 W INDIANTOWN RD","JUPITER","USAFL","33458-3980","27261040",26.934160,-80.123860,"",0:15,"10/5/2023",09:57 Thu,20366,"Sanford","W009","10/5/2023",10:16 Thu,"","LSW009100423","JUPITER",1,0,"7:00",2,0,"Sanford, FL Domicile","10/6/2023",2562,6,184511,48,18:53 Fri
9,4,"10/5/2023",06:00 Thu,"34510274-00","0274 Home Depot","1694 W INDIANTOWN RD","JUPITER","USAFL","33458-3980","27250475",26.934160,-80.123860,"",0:15,"10/5/2023",10:16 Thu,20366,"Sanford","W009","10/5/2023",10:16 Thu,"","LSW009100423","LAKE PARK",1,0,"7:00",2,0,"Sanford, FL Domicile","10/6/2023",582,2,85458,48,18:53 Fri
9,5,"10/5/2023",06:00 Thu,"34510220-00","0220 Home Depot","3860 NORTHLAKE BLVD","LAKE PARK","USAFL","33403-1536","27261226",26.808130,-80.075970,"",0:15,"10/5/2023",10:34 Thu,20366,"Sanford","W009","10/5/2023",10:54 Thu,"","LSW009100423","LAKE WORTH",1,0,"7:00",3,0,"Sanford, FL Domicile","10/6/2023",2946,13,213445,13,18:53 Fri
9,6,"10/5/2023",06:00 Thu,"34510205-00","0205 Home Depot","4241 LAKE WORTH RD","LAKE WORTH","USAFL","33461-3927","27261069",26.618317,-80.108790,"",0:15,"10/5/2023",11:18 Thu,20366,"Sanford","W009","10/5/2023",12:21 Thu,"","LSW009100423","LAKE WORTH",1,0,"7:00",4,0,"Sanford, FL Domicile","10/6/2023",28225,61,1741907,17,18:53 Fri
9,7,"10/5/2023",06:00 Thu,"34510205-00","0205 Home Depot","4241 LAKE WORTH RD","LAKE WORTH","USAFL","33461-3927","27250677",26.618317,-80.108790,"",0:15,"10/5/2023",12:21 Thu,20366,"Sanford","W009","10/5/2023",12:26 Thu,"","LSW009100423","LAKE WORTH",1,0,"7:00",4,0,"Sanford, FL Domicile","10/6/2023",3088,2,94857,17,18:53 Fri
9,8,"10/5/2023",06:00 Thu,"34516316-00","6316 Home Depot","5750 S JOG RD","LAKE WORTH","USAFL","33467-6507","27261237",26.592445,-80.147407,"",0:15,"10/5/2023",12:35 Thu,20366,"Sanford","W009","10/5/2023",12:56 Thu,"","LSW009100423","LAKE WORTH",1,0,"7:00",5,0,"Sanford, FL Domicile","10/6/2023",3742,10,184050,4,18:53 Fri
