Route No.,Call No.,Route Start Date,Shift Start,Customer ID,Customer Name,Full Address for Address Matching,Customer Address,Country Code,Postcode,Order Details 1,Latitude,Longitude,EQ Code,Fixed Time at Call,Delivery Date,Arrival Time,Contact Number (Daily UID),Depot Address,Route Reference,Stop Departure Date,Depart Time,Driver ID,Route Reference,Next Customer Address,Monday,Depot,Open,Trip Drop No.,Is Crossdock,Depot Name,Route Completion Date,Cube,Units,$,Travel Distance from Prev. Drop,End Depot Arrival Time,Pool Flag,PO #,Legacy Customer ID,Travel Time  from Prev. Call,Store Phone Number
2,6,"1/3/2024",08:00 Wed,"34510963-00","HOME DEPOT 0963","465 STATE HIGHWAY 17","MAHWAH","USANJ","7430","27360685",41.089033,-74.154144,"",0:15,"1/3/2024",12:04 Wed,20456,"North Brunswick","T002","1/3/2024",12:25 Wed,"","NBT002010224","FAIR LAWN",0,0,"7:00",5,0,"North Brunswick","1/4/2024",12800,25,323920,42,08:20 Thu,"","63992101","",0:00,""
2,7,"1/3/2024",08:00 Wed,"1662-09","BLUE RIDGE LUMBER","22-09 ROSALIE ST","FAIR LAWN","USANJ","07410-3037","27359603",40.923750,-74.114260,"",0:15,"1/3/2024",12:48 Wed,20456,"North Brunswick","T002","1/3/2024",13:03 Wed,"","NBT002010224","RAHWAY",0,0,"7:00",6,0,"North Brunswick","1/4/2024",1,6,0,15,08:20 Thu,"","53975","",0:23,""
2,8,"1/3/2024",08:00 Wed,"17085-09","ABC Supply-Rathway #448","700 E LINCOLN AVE","RAHWAY","USANJ","07065-5712","27308722",40.608728,-74.257690,"",0:15,"1/4/2024",07:00 Thu,20456,"North Brunswick","T002","1/4/2024",07:16 Thu,"","NBT002010224","RAHWAY",1,0,"7:00",7,0,"North Brunswick","1/4/2024",810,34,97640,28,08:20 Thu,"","99999592","",0:45,""
2,9,"1/3/2024",08:00 Wed,"17085-09","ABC Supply-Rathway #448","700 E LINCOLN AVE","RAHWAY","USANJ","07065-5712","27354595",40.608728,-74.257690,"",0:15,"1/4/2024",07:16 Thu,20456,"North Brunswick","T002","1/4/2024",07:18 Thu,"","NBT002010224","WOODBRIDGE",1,0,"7:00",7,0,"North Brunswick","1/4/2024",1036,2,0,28,08:20 Thu,"","10072724","",0:00,""
2,10,"1/3/2024",08:00 Wed,"34510916-00","HOME DEPOT 0916","373 ROUTE 9 SOUTH","WOODBRIDGE","USANJ","7095","27360634",40.541004,-74.292914,"",0:15,"1/4/2024",07:27 Thu,20456,"North Brunswick","T002","1/4/2024",08:03 Thu,"","NBT002010224","WOODBRIDGE",0,0,"7:00",8,0,"North Brunswick","1/4/2024",12800,25,527826,5,08:20 Thu,"","16992101","",0:09,""
2,11,"1/3/2024",08:00 Wed,"34510916-00","HOME DEPOT 0916","373 ROUTE 9 SOUTH","WOODBRIDGE","USANJ","7095","27357846",40.541004,-74.292914,"",0:15,"1/4/2024",08:03 Thu,20456,"North Brunswick","T002","1/4/2024",08:03 Thu,"","NBT002010224","North Brunswick",0,0,"7:00",8,0,"North Brunswick","1/4/2024",1,2,990,5,08:20 Thu,"","16542135","",0:00,""
3,1,"1/3/2024",06:53 Wed,"34512659-00","2659 Home Depot","1100 Newport Ave","ATTLEBORO","USAMA","02703-7033","27360723",41.899450,-71.355210,"",0:15,"1/3/2024",07:16 Wed,20456,"Cranston","T003","1/3/2024",08:04 Wed,"","NBT003010224","EAST WAREHAM",0,0,"7:00",1,0,"Crantson, RI Domicile","1/3/2024",19300,35,647921,15,12:40 Wed,"","59981390","",0:23,""
3,2,"1/3/2024",06:53 Wed,"34512613-00","2613 Home Depot","2994 Cranberry Hwy","EAST WAREHAM","USAMA","02538-1336","27357473",41.759580,-70.664090,"",0:15,"1/3/2024",08:52 Wed,20456,"Cranston","T003","1/3/2024",09:07 Wed,"","NBT003010224","EAST WAREHAM",1,0,"7:00",2,0,"Crantson, RI Domicile","1/3/2024",67,1,4140,47,12:40 Wed,"","13538121","",0:48,""
3,3,"1/3/2024",06:53 Wed,"34512613-00","2613 Home Depot","2994 Cranberry Hwy","EAST WAREHAM","USAMA","02538-1336","27356722",41.759580,-70.664090,"",0:15,"1/3/2024",09:07 Wed,20456,"Cranston","T003","1/3/2024",09:28 Wed,"","NBT003010224","NORTH DARTMOUTH",1,0,"7:00",2,0,"Crantson, RI Domicile","1/3/2024",12800,27,496918,47,12:40 Wed,"","13981242","",0:00,""
3,4,"1/3/2024",06:53 Wed,"34512673-00","2673 Home Depot","470 State Rd","NORTH DARTMOUTH","USAMA","02747-4308","27360534",41.640804,-71.003502,"",0:15,"1/3/2024",10:00 Wed,20456,"Cranston","T003","1/3/2024",10:48 Wed,"","NBT003010224","COVENTRY",0,0,"10:00",3,0,"Crantson, RI Domicile","1/3/2024",19300,35,612468,24,12:40 Wed,"","73981390","",0:33,""
3,5,"1/3/2024",06:53 Wed,"34514279-00","4279 Home Depot","700 Centre of NE Blvd","COVENTRY","USARI","2816","27360523",41.701853,-71.592666,"",0:15,"1/3/2024",11:52 Wed,20456,"Cranston","T003","1/3/2024",12:08 Wed,"","NBT003010224","Cranston",0,0,"8:00",4,0,"Crantson, RI Domicile","1/3/2024",978,2,37192,46,12:40 Wed,"","79981390","",1:04,""
4,1,"1/3/2024",08:00 Wed,"34512608-00","2608 Home Depot","465 Centre St","QUINCY","USAMA","02169-7530","27360630",42.232402,-71.009451,"",0:15,"1/3/2024",08:35 Wed,20456,"Norton","T004","1/3/2024",09:23 Wed,"","NBT004010224","EVERETT",0,0,"7:00",1,0,"Norton, MA Domicile","1/4/2024",19300,34,459538,29,12:07 Thu,"","08981390","",0:35,""
4,2,"1/3/2024",08:00 Wed,"34512688-00","2688 Home Depot","1 Mystic View Rd","EVERETT","USAMA","02149-2428","27360653",42.400850,-71.071260,"",0:15,"1/3/2024",09:49 Wed,20456,"Norton","T004","1/3/2024",10:25 Wed,"","NBT004010224","DANVERS",0,0,"7:00",2,0,"Norton, MA Domicile","1/4/2024",12800,17,333659,15,12:07 Thu,"","88981390","",0:26,""
4,3,"1/3/2024",08:00 Wed,"34512663-00","2663 Home Depot","92 Newbury St","DANVERS","USAMA","01923-1035","27360528",42.563390,-70.976390,"",0:15,"1/3/2024",10:53 Wed,20456,"Norton","T004","1/3/2024",11:18 Wed,"","NBT004010224","EAST HAMPSTEAD",0,0,"7:00",3,0,"Norton, MA Domicile","1/4/2024",6400,8,118446,15,12:07 Thu,"","63981390","",0:28,""
4,4,"1/3/2024",08:00 Wed,"20555-00","East Coast Lumber & Building Supply Co.","4 COLONIAL DR STE 111","EAST HAMPSTEAD","USANH","03826-2466","27357780",42.881136,-71.128379,"",0:15,"1/3/2024",12:05 Wed,20456,"Norton","T004","1/3/2024",12:20 Wed,"","NBT004010224","MANCHESTER",0,0,"7:00",4,0,"Norton, MA Domicile","1/4/2024",1,1,0,27,12:07 Thu,"","941061","",0:47,""
4,5,"1/3/2024",08:00 Wed,"34513482-00","3482 Home Depot","129 March Ave","MANCHESTER","USANH","03103-4010","27360487",42.958518,-71.444680,"",0:15,"1/3/2024",12:55 Wed,20456,"Norton","T004","1/3/2024",13:20 Wed,"","NBT004010224","HOOKSETT",0,0,"7:00",5,0,"Norton, MA Domicile","1/4/2024",6400,11,132154,25,12:07 Thu,"","82982377","",0:35,""
4,6,"1/3/2024",08:00 Wed,"34513403-00","3403 Home Depot","300 Quality Dr","HOOKSETT","USANH","03106-2650","27360538",43.046498,-71.459170,"",0:15,"1/3/2024",13:32 Wed,20456,"Norton","T004","1/3/2024",13:57 Wed,"","NBT004010224","CONCORD",0,0,"6:00",6,0,"Norton, MA Domicile","1/4/2024",6400,8,166145,8,12:07 Thu,"","03982377","",0:13,""
4,7,"1/3/2024",08:00 Wed,"9731-02","Big Jims Home Center Bargain Outlet Inc","287 S MAIN ST","CONCORD","USANH","03301-3460","27355047",43.192250,-71.532000,"",0:15,"1/3/2024",14:13 Wed,20456,"Norton","T004","1/3/2024",14:28 Wed,"","NBT004010224","CONCORD",0,0,"7:00",7,0,"Norton, MA Domicile","1/4/2024",1,1,2875,12,12:07 Thu,"","gagnon","",0:16,""
4,8,"1/3/2024",08:00 Wed,"34513485-00","3485 Home Depot","42 Damante Dr","CONCORD","USANH","03301-5759","27360714",43.220285,-71.486599,"",0:15,"1/3/2024",14:43 Wed,20456,"Norton","T004","1/3/2024",15:08 Wed,"","NBT004010224","NORTH HAVERHILL",0,0,"7:00",8,0,"Norton, MA Domicile","1/4/2024",6400,10,191636,7,12:07 Thu,"","85982377","",0:15,""
4,9,"1/3/2024",08:00 Wed,"6665-00","Deep Water Ventures LLC","1139 Clark Pond Rd","NORTH HAVERHILL","USANH","03774-4665","27345893",44.097331,-72.018284,"",0:15,"1/4/2024",07:00 Thu,20456,"Norton","T004","1/4/2024",07:15 Thu,"","NBT004010224","MERRIMACK",0,0,"7:00",9,0,"Norton, MA Domicile","1/4/2024",113,1,14456,113,12:07 Thu,"","hanley celler","",2:06,""
4,10,"1/3/2024",08:00 Wed,"34513486-00","3486 Home Depot","721 Milford Rd","MERRIMACK","USANH","03054-4611","27360544",42.804460,-71.548930,"",0:15,"1/4/2024",09:47 Thu,20456,"Norton","T004","1/4/2024",10:12 Thu,"","NBT004010224","NASHUA",0,0,"7:00",10,0,"Norton, MA Domicile","1/4/2024",6400,6,133672,142,12:07 Thu,"","86982377","",2:32,""
4,11,"1/3/2024",08:00 Wed,"34513484-00","3484 Home Depot","12 Coliseum Ave","NASHUA","USANH","03063-3236","27360632",42.765490,-71.497500,"",0:15,"1/4/2024",10:22 Thu,20456,"Norton","T004","1/4/2024",10:41 Thu,"","NBT004010224","Norton",0,0,"7:00",11,0,"Norton, MA Domicile","1/4/2024",2554,5,101300,4,12:07 Thu,"","84982377","",0:10,""
5,1,"1/3/2024",05:42 Wed,"34516213-00","6213 Home Depot","656 RESERVOIR AVE","BRIDGEPORT","USACT","06606-3981","27360616",41.209463,-73.191758,"",0:15,"1/3/2024",07:47 Wed,20456,"North Brunswick","T005","1/3/2024",08:44 Wed,"","NBT005010224","DERBY",0,0,"7:00",1,0,"North Brunswick","1/4/2024",19300,36,585144,100,10:45 Thu,"","13981655","",2:05,""
5,2,"1/3/2024",05:42 Wed,"34516226-00","6226 Home Depot","117 Main St","DERBY","USACT","06418-1932","27360596",41.319700,-73.086380,"",0:15,"1/3/2024",08:58 Wed,20456,"North Brunswick","T005","1/3/2024",09:40 Wed,"","NBT005010224","DERBY",0,0,"7:00",2,0,"North Brunswick","1/4/2024",12800,19,281951,10,10:45 Thu,"","26981655","",0:15,""
5,3,"1/3/2024",05:42 Wed,"34516226-00","6226 Home Depot","117 Main St","DERBY","USACT","06418-1932","27357522",41.319700,-73.086380,"",0:15,"1/3/2024",09:40 Wed,20456,"North Brunswick","T005","1/3/2024",10:02 Wed,"","NBT005010224","WATERBURY",0,0,"7:00",2,0,"North Brunswick","1/4/2024",10520,28,610244,10,10:45 Thu,"","26537490","",0:00,""
5,4,"1/3/2024",05:42 Wed,"34516212-00","6212 Home Depot","575 Bank St","WATERBURY","USACT","06708-3570","27360551",41.547585,-73.043508,"",0:15,"1/3/2024",10:25 Wed,20456,"North Brunswick","T005","1/3/2024",11:36 Wed,"","NBT005010224","BLOOMFIELD",0,0,"7:00",3,0,"North Brunswick","1/4/2024",25700,48,794858,17,10:45 Thu,"","12981655","",0:22,""
5,5,"1/3/2024",05:42 Wed,"34516228-00","6228 Home Depot","55 Granby St","BLOOMFIELD","USACT","06002-3511","27360508",41.813672,-72.708850,"",0:15,"1/3/2024",12:23 Wed,20456,"North Brunswick","T005","1/3/2024",12:59 Wed,"","NBT005010224","SOUTH WINDSOR",0,0,"7:00",4,0,"North Brunswick","1/4/2024",12800,21,349674,36,10:45 Thu,"","28981655","",0:47,""
5,6,"1/3/2024",05:42 Wed,"34514284-503","J & J TRI-STATE","1640 JOHN FITCH BLVD","SOUTH WINDSOR","USACT","06074-1019","27341377",41.851931,-72.599843,"",0:45,"1/3/2024",13:15 Wed,20456,"North Brunswick","T005","1/3/2024",14:14 Wed,"","NBT005010224","BERLIN",0,0,"7:30",5,0,"North Brunswick","1/4/2024",8340,5,308571,8,10:45 Thu,"","84523754","",0:17,""
5,7,"1/3/2024",05:42 Wed,"34516203-00","6203 Home Depot","225 BERLIN TPKE","BERLIN","USACT","06037-1505","27360611",41.644783,-72.731405,"",0:15,"1/3/2024",14:42 Wed,20456,"North Brunswick","T005","1/3/2024",15:10 Wed,"","NBT005010224","STRATFORD",0,0,"6:00",6,0,"North Brunswick","1/4/2024",6400,9,157569,20,10:45 Thu,"","03981655","",0:27,""
5,8,"1/3/2024",05:42 Wed,"34516225-00","6225 Home Depot","350 Barnum Avenue Cutoff","STRATFORD","USACT","06614-5113","27360527",41.198925,-73.119915,"",0:15,"1/3/2024",16:00 Wed,20456,"North Brunswick","T005","1/3/2024",16:42 Wed,"","NBT005010224","STRATFORD",0,0,"7:00",7,0,"North Brunswick","1/4/2024",12800,18,302655,42,10:45 Thu,"","25981655","",0:50,""
5,9,"1/3/2024",05:42 Wed,"34516225-00","6225 Home Depot","350 Barnum Avenue Cutoff","STRATFORD","USACT","06614-5113","27357398",41.198925,-73.119915,"",0:15,"1/3/2024",16:42 Wed,20456,"North Brunswick","T005","1/3/2024",16:42 Wed,"","NBT005010224","STRATFORD",0,0,"7:00",7,0,"North Brunswick","1/4/2024",1,1,2295,42,10:45 Thu,"","25531714","",0:00,""
5,10,"1/3/2024",05:42 Wed,"34516225-00","6225 Home Depot","350 Barnum Avenue Cutoff","STRATFORD","USACT","06614-5113","27342432",41.198925,-73.119915,"",0:15,"1/3/2024",16:42 Wed,20456,"North Brunswick","T005","1/3/2024",16:42 Wed,"","NBT005010224","Fairfield",0,0,"7:00",7,0,"North Brunswick","1/4/2024",322,1,24681,42,10:45 Thu,"","25531537","",0:00,""
5,11,"1/3/2024",05:42 Wed,"34516206-00","6206 Home Depot","541 Kings Highway Cutoff","Fairfield","USACT","06824-5305","27360588",41.159960,-73.241360,"",0:15,"1/4/2024",08:00 Thu,20456,"North Brunswick","T005","1/4/2024",08:42 Thu,"","NBT005010224","North Brunswick",0,0,"8:00",8,0,"North Brunswick","1/4/2024",12800,20,274669,8,10:45 Thu,"","06981655","",0:11,""
6,1,"1/3/2024",08:00 Wed,"34516178-00","HOME DEPOT 6178","184 ROUTE 9","FISHKILL","USANY","12524-2962","27360486",41.519750,-73.888950,"",0:15,"1/3/2024",09:53 Wed,20456,"North Brunswick","T006","1/3/2024",10:18 Wed,"","NBT006010224","WAPPINGERS FALLS",0,0,"7:00",1,0,"North Brunswick","1/4/2024",6400,7,123893,100,13:29 Thu,"","78973500","",1:53,""
6,2,"1/3/2024",08:00 Wed,"34511207-00","HOME DEPOT 1207","1202 ROUTE 9","WAPPINGERS FALLS","USANY","12590-4968","27360568",41.575680,-73.909290,"",0:15,"1/3/2024",10:26 Wed,20456,"North Brunswick","T006","1/3/2024",10:51 Wed,"","NBT006010224","RENSSELAER",0,0,"7:00",2,0,"North Brunswick","1/4/2024",6400,10,132428,4,13:29 Thu,"","07973500","",0:08,""
6,3,"1/3/2024",08:00 Wed,"34511263-00","HOME DEPOT 1263","600 N GREENBUSH RD","RENSSELAER","USANY","12144-8412","27360562",42.646425,-73.697735,"",0:15,"1/3/2024",12:34 Wed,20456,"North Brunswick","T006","1/3/2024",13:10 Wed,"","NBT006010224","CLIFTON PARK",0,0,"7:00",3,0,"North Brunswick","1/4/2024",12800,24,436825,92,13:29 Thu,"","63973999","",1:43,""
6,4,"1/3/2024",08:00 Wed,"34511269-00","Home Depot 1269","4 HALFMOON CROSSING BLVD","CLIFTON PARK","USANY","12065-4171","27360516",42.858240,-73.768380,"",0:15,"1/3/2024",13:35 Wed,20456,"North Brunswick","T006","1/3/2024",13:53 Wed,"","NBT006010224","SARATOGA SPRINGS",0,0,"8:00",4,0,"North Brunswick","1/4/2024",2268,5,92512,20,13:29 Thu,"","69973999","",0:25,""
6,5,"1/3/2024",08:00 Wed,"34511223-00","HOME DEPOT #1223","3042 ROUTE 50","SARATOGA SPRINGS","USANY","12866-2906","27360530",43.102960,-73.744040,"",0:15,"1/3/2024",14:14 Wed,20456,"North Brunswick","T006","1/3/2024",14:39 Wed,"","NBT006010224","QUEENSBURY",0,0,"7:00",5,0,"North Brunswick","1/4/2024",6400,9,166608,18,13:29 Thu,"","23973999","",0:21,""
6,6,"1/3/2024",08:00 Wed,"34516160-00","HOME DEPOT 6160","820 STATE ROUTE 9","QUEENSBURY","USANY","12804-1766","27360617",43.330860,-73.674930,"",0:15,"1/3/2024",14:59 Wed,20456,"North Brunswick","T006","1/3/2024",15:24 Wed,"","NBT006010224","QUEENSBURY",0,0,"6:00",6,0,"North Brunswick","1/4/2024",6400,15,227427,18,13:29 Thu,"","60973999","",0:20,""
6,7,"1/3/2024",08:00 Wed,"34516160-00","HOME DEPOT 6160","820 STATE ROUTE 9","QUEENSBURY","USANY","12804-1766","27340866",43.330860,-73.674930,"",0:15,"1/3/2024",15:24 Wed,20456,"North Brunswick","T006","1/3/2024",15:24 Wed,"","NBT006010224","AMSTERDAM",0,0,"6:00",6,0,"North Brunswick","1/4/2024",69,1,12469,18,13:29 Thu,"","60522395","",0:00,""
6,8,"1/3/2024",08:00 Wed,"34511289-00","HOME DEPOT 1289","135 HANNAFORD PLZ","AMSTERDAM","USANY","12010-7548","27360526",42.966940,-74.184330,"",0:15,"1/4/2024",08:00 Thu,20456,"North Brunswick","T006","1/4/2024",08:36 Thu,"","NBT006010224","SCHENECTADY",0,0,"8:00",7,0,"North Brunswick","1/4/2024",12800,19,315122,49,13:29 Thu,"","89973999","",1:06,""
6,9,"1/3/2024",08:00 Wed,"34511239-00","Home Depot 1239","2500 CAMBRIDGE RD","SCHENECTADY","USANY","12304-3430","27360494",42.782603,-73.914375,"",0:15,"1/4/2024",09:07 Thu,20456,"North Brunswick","T006","1/4/2024",09:43 Thu,"","NBT006010224","ALBANY",0,0,"8:00",8,0,"North Brunswick","1/4/2024",12800,24,370264,22,13:29 Thu,"","39973999","",0:31,""
6,10,"1/3/2024",08:00 Wed,"34511241-00","HOME DEPOT 1241","161 WASHINGTON AVENUE EXT","ALBANY","USANY","12205-5601","27360636",42.695680,-73.848780,"",0:15,"1/4/2024",09:58 Thu,20456,"North Brunswick","T006","1/4/2024",10:23 Thu,"","NBT006010224","North Brunswick",0,0,"8:00",9,0,"North Brunswick","1/4/2024",6400,6,89925,10,13:29 Thu,"","41973999","",0:15,""
7,1,"1/3/2024",07:03 Wed,"34511252-00","HOME DEPOT 1252","798 MAIN ST","JOHNSON CITY","USANY","13790-1767","27358615",42.118140,-75.981270,"",0:15,"1/3/2024",10:12 Wed,20456,"North Brunswick","T007","1/3/2024",10:27 Wed,"","NBT007010224","ONEONTA",0,0,"8:00",1,0,"North Brunswick","1/5/2024",1,2,3,187,06:21 Fri,"","52514887","",3:10,""
7,2,"1/3/2024",07:03 Wed,"34516173-00","HOME DEPOT 6173","659 STATE HIGHWAY 28","ONEONTA","USANY","13820-3561","27355566",42.445060,-75.059100,"",0:15,"1/3/2024",11:31 Wed,20456,"North Brunswick","T007","1/3/2024",11:56 Wed,"","NBT007010224","NEW HARTFORD",0,0,"7:00",2,0,"North Brunswick","1/5/2024",6400,6,110622,62,06:21 Fri,"","73973846","",1:03,""
7,3,"1/3/2024",07:03 Wed,"34511254-00","HOME DEPOT 1254","545 FRENCH RD","NEW HARTFORD","USANY","13413-1043","27360622",43.090180,-75.278100,"",0:15,"1/3/2024",13:19 Wed,20456,"North Brunswick","T007","1/3/2024",13:34 Wed,"","NBT007010224","EAST SYRACUSE",0,0,"7:00",3,0,"North Brunswick","1/5/2024",156,3,25911,66,06:21 Fri,"","54977006","",1:23,""
7,4,"1/3/2024",07:03 Wed,"34511236-00","HOME DEPOT 1236","5814 BRIDGE ST","EAST SYRACUSE","USANY","13057-2923","27360514",43.052670,-76.069060,"",0:15,"1/3/2024",14:30 Wed,20456,"North Brunswick","T007","1/3/2024",15:18 Wed,"","NBT007010224","CARTHAGE",0,0,"8:00",4,0,"North Brunswick","1/5/2024",19300,28,380585,48,06:21 Fri,"","36977006","",0:56,""
7,5,"1/3/2024",07:03 Wed,"2258-00","FARNEYS HOME & BLDG CTR","11099 STATE ROUTE 26","CARTHAGE","USANY","13619-3207","27322226",43.956013,-75.613732,"",0:15,"1/3/2024",17:00 Wed,20456,"North Brunswick","T007","1/3/2024",17:15 Wed,"","NBT007010224","MASSENA",0,0,"7:00",5,0,"North Brunswick","1/5/2024",515,1,43319,90,06:21 Fri,"","841216MOSER","",1:42,""
7,6,"1/3/2024",07:03 Wed,"34518996-00","HOME DEPOT 8996","41 STEPHENVILLE ST","MASSENA","USANY","13662-2705","27355583",44.924350,-74.878470,"",0:15,"1/4/2024",07:00 Thu,20456,"North Brunswick","T007","1/4/2024",07:25 Thu,"","NBT007010224","MEXICO",0,0,"7:00",6,0,"North Brunswick","1/5/2024",6400,8,114015,93,06:21 Fri,"","96976821","",2:12,""
7,7,"1/3/2024",07:03 Wed,"110221-00B000B0","BFS LBR YD 00B000B0","5818 SCENIC AVE","MEXICO","USANY","13114-3515","27338003",43.468180,-76.232600,"",0:15,"1/4/2024",10:12 Thu,20456,"North Brunswick","T007","1/4/2024",10:28 Thu,"","NBT007010224","CICERO",0,0,"7:00",7,0,"North Brunswick","1/5/2024",1074,6,61008,137,06:21 Fri,"","37621266","",2:47,""
7,8,"1/3/2024",07:03 Wed,"34511235-00","HOME DEPOT 1235","7922 US HIGHWAY 11","CICERO","USANY","13039","27360684",43.163050,-76.119670,"",0:15,"1/4/2024",10:59 Thu,20456,"North Brunswick","T007","1/4/2024",11:18 Thu,"","NBT007010224","LIVERPOOL",0,0,"7:00",8,0,"North Brunswick","1/5/2024",2335,5,99063,26,06:21 Fri,"","35977006","",0:31,""
7,9,"1/3/2024",07:03 Wed,"34516153-00","HOME DEPOT 6153","3861 STATE ROUTE 31","LIVERPOOL","USANY","13090-1309","27360586",43.184901,-76.245539,"",0:15,"1/4/2024",11:30 Thu,20456,"North Brunswick","T007","1/4/2024",11:55 Thu,"","NBT007010224","CAMILLUS",1,0,"7:00",9,0,"North Brunswick","1/5/2024",6400,10,167150,8,06:21 Fri,"","53977006","",0:12,""
7,10,"1/3/2024",07:03 Wed,"34511257-00","HOME DEPOT 1257","3756 MILTON AVE","CAMILLUS","USANY","13031-1771","27360598",43.052375,-76.263950,"",0:15,"1/4/2024",12:23 Thu,20456,"North Brunswick","T007","1/4/2024",12:59 Thu,"","NBT007010224","AUBURN",0,0,"7:00",10,0,"North Brunswick","1/5/2024",12800,18,378061,14,06:21 Fri,"","57977006","",0:28,""
